ID,Municipality,Total,Muslims,Muslim_Percentage,Croats,Croat_Percentage,Serbs,Serb_Percentage,Others,Other_Percentage
10014,Banovići,26590,19162,72.1,550,2.1,4514,17.0,2364,8.9
20010,Banja Luka,195692,28558,14.6,29026,14.8,106826,54.6,31282,16.0
20028,Berkovići,3494,704,20.1,637,18.2,2115,60.5,38,1.1
10049,Bihać,72454,46740,64.5,5582,7.7,14391,19.9,5741,7.9
20036,Bijeljina,96988,30229,31.2,492,0.5,57389,59.2,8878,9.2
20044,Bileća,13284,1947,14.7,39,0.3,10628,80.0,670,5.0
11428,Bosanska Krupa,38476,26343,68.5,129,0.3,10944,28.4,1060,2.8
11436,Bosanski Petrovac,15232,3288,21.6,48,0.3,11306,74.2,590,3.9
10146,Bosansko Grahovo,8311,12,0.1,226,2.7,7888,94.9,185,2.2
20052,Bratunac,33619,21535,64.1,40,0.1,11475,34.1,569,1.7
30163,Brčko,87627,38617,44.1,22252,25.4,18128,20.7,8630,9.8
10189,Breza,17317,13079,75.5,851,4.9,2122,12.3,1265,7.3
20079,Brod,33744,4087,12.1,13949,41.3,11124,33.0,4584,13.6
10197,Bugojno,46889,19697,42.0,16031,34.2,8673,18.5,2488,5.3
10219,Busovača,18879,8451,44.8,9093,48.2,623,3.3,712,3.8
11240,Bužim,16940,16680,98.5,5,0.0,91,0.5,164,1.0
10227,Cazin,63409,61693,97.3,139,0.2,778,1.2,799,1.3
10839,Centar Sarajevo,79286,39761,50.1,5428,6.8,16631,21.0,17466,22.0
20630,Čajniče,8956,4024,44.9,5,0.1,4709,52.6,218,2.4
10243,Čapljina,27882,7672,27.5,14969,53.7,3753,13.5,1488,5.3
11231,Čelić,12445,9399,75.5,1206,9.7,1572,12.6,268,2.2
20648,Čelinac,18713,1446,7.7,76,0.4,16554,88.5,637,3.4
10260,Čitluk,15083,111,0.7,14823,98.3,19,0.1,130,0.9
20133,Derventa,56489,7086,12.5,21952,38.9,22938,40.6,4513,8.0
20141,Doboj,95213,29203,30.7,10676,11.2,47133,49.5,8201,8.6
11258,Doboj-Istok,9038,8828,97.7,7,0.1,90,1.0,113,1.3
11266,Doboj-Jug,3259,3045,93.4,97,3.0,19,0.6,98,3.0
11274,Dobretići,4790,3,0.1,4720,98.5,6,0.1,61,1.3
11282,Domaljevac-Šamac,6343,8,0.1,5918,93.3,307,4.8,110,1.7
10294,Donji Vakuf,24372,13509,55.4,682,2.8,9364,38.4,817,3.4
20150,Donji Žabar,4138,14,0.3,1337,32.3,2716,65.6,71,1.7
11614,Drvar,15343,29,0.2,31,0.2,14846,96.8,437,2.8
11444,Foča (FBIH),5158,3632,70.4,1,0.0,1457,28.2,68,1.3
20613,Foča (RS),35389,17183,48.6,93,0.3,16867,47.7,1246,3.5
10324,Fojnica,16296,8024,49.2,6623,40.6,157,1.0,1492,9.2
20117,Gacko,10788,3858,35.8,29,0.3,6661,61.7,240,2.2
10359,Glamoč,12593,2257,17.9,184,1.5,9951,79.0,201,1.6
11452,Goražde,32858,22682,69.0,76,0.2,8823,26.9,1277,3.9
10375,Gornji Vakuf-Uskoplje,25181,14063,55.8,10706,42.5,110,0.4,302,1.2
11479,Gračanica,47485,42518,89.5,77,0.2,2592,5.5,2298,4.8
11410,Grad Mostar,126612,44037,34.8,42907,33.9,23779,18.8,15889,12.5
10391,Gradačac,42373,33704,79.5,2834,6.7,3758,8.9,2077,4.9
20125,Gradiška,59974,15851,26.4,3417,5.7,35753,59.6,4953,8.3
10405,Grude,16358,4,0.0,16210,99.1,9,0.1,135,0.8
10847,Hadžići,24200,15392,63.6,746,3.1,6362,26.3,1700,7.0
20621,Han Pijesak,6348,2543,40.1,7,0.1,3674,57.9,124,2.0
11550,Ilidža,62144,28421,45.7,6833,11.0,20768,33.4,6122,9.9
10863,Ilijaš,25016,10440,41.7,1736,6.9,11303,45.2,1537,6.1
20176,Istočna Ilidža,8612,1941,22.5,200,2.3,5852,68.0,619,7.2
20184,Istočni Drvar,61,1,1.6,0,0.0,60,98.4,0,0.0
20192,Istočni Mostar,518,298,57.5,130,25.1,87,16.8,3,0.6
20206,Istočni Stari Grad,1362,230,16.9,6,0.4,1107,81.3,19,1.4
20214,Istočno Novo Sarajevo,4122,423,10.3,43,1.0,3496,84.8,160,3.9
10421,Jablanica,12691,9099,71.7,2291,18.1,504,4.0,797,6.3
11487,Jajce,43975,17587,40.0,15790,35.9,7503,17.1,3095,7.0
20222,Jezero,2149,754,35.1,168,7.8,1161,54.0,66,3.1
10448,Kakanj,55950,30528,54.6,16556,29.6,4929,8.8,3937,7.0
11495,Kalesija,34464,29417,85.4,30,0.1,4081,11.8,936,2.7
20249,Kalinovik,4249,1314,30.9,17,0.4,2814,66.2,104,2.4
10472,Kiseljak,24164,9778,40.5,12550,51.9,740,3.1,1096,4.5
10499,Kladanj,15765,11976,76.0,35,0.2,3299,20.9,455,2.9
11509,Ključ,28284,17657,62.4,323,1.1,9517,33.6,787,2.8
20257,Kneževo,15404,1068,6.9,418,2.7,13659,88.7,259,1.7
10529,Konjic,44264,24192,54.7,11513,26.0,6625,15.0,1934,4.4
20273,Kostajnica,6231,1707,27.4,166,2.7,4041,64.9,317,5.1
20281,Kotor Varoš,36853,11090,30.1,10695,29.0,14056,38.1,1012,2.7
20265,Kozarska Dubica,31606,6440,20.4,488,1.5,21728,68.7,2950,9.3
10545,Kreševo,6731,1531,22.7,4714,70.0,34,0.5,452,6.7
20290,Krupa na Uni,2904,81,2.8,5,0.2,2806,96.6,12,0.4
11517,Kupres (FBIH),8836,802,9.1,3812,43.1,4091,46.3,131,1.5
20303,Kupres (RS),782,0,0.0,1,0.1,773,98.8,8,1.0
20311,Laktaši,29832,408,1.4,2565,8.6,24176,81.0,2683,9.0
10588,Livno,40600,5793,14.3,29324,72.2,3913,9.6,1570,3.9
20320,Lopare,20288,2591,12.8,58,0.3,16832,83.0,807,4.0
10600,Lukavac,56355,38078,67.6,2159,3.8,11463,20.3,4655,8.3
20338,Ljubinje,4172,332,8.0,39,0.9,3748,89.8,53,1.3
10626,Ljubuški,28340,1592,5.6,26127,92.2,65,0.2,556,2.0
10634,Maglaj,34115,18988,55.7,3596,10.5,9522,27.9,2009,5.9
20346,Milići,15719,7433,47.3,7,0.0,7983,50.8,296,1.9
20354,Modriča,33567,7632,22.7,8132,24.2,14888,44.4,2915,8.7
20362,Mrkonjić Grad,26278,2311,8.8,1992,7.6,21056,80.1,919,3.5
10685,Neum,4325,190,4.4,3792,87.7,207,4.8,136,3.1
20389,Nevesinje,13944,2834,20.3,210,1.5,10689,76.7,211,1.5
20397,Novi Grad,35434,12333,34.8,237,0.7,21060,59.4,1804,5.1
10871,Novi Grad Sarajevo,133797,68405,51.1,8790,6.6,36000,26.9,20602,15.4
10774,Novi Travnik,30713,11625,37.9,12162,39.6,4097,13.3,2829,9.2
20419,Novo Goražde,4715,3614,76.6,4,0.1,1020,21.6,77,1.6
11568,Novo Sarajevo,90967,33479,36.8,8755,9.6,29403,32.3,19330,21.2
11525,Odžak,28568,5953,20.8,16062,56.2,4768,16.7,1785,6.2
10715,Olovo,16326,12175,74.6,642,3.9,3087,18.9,422,2.6
11533,Orašje,24229,1879,7.8,19971,82.4,1519,6.3,860,3.5
20427,Osmaci,7345,3720,50.6,5,0.1,3578,48.7,42,0.6
20435,Oštra Luka,5545,278,5.0,1095,19.7,4008,72.3,164,3.0
11576,Pale (FBIH),1972,1374,69.7,4,0.2,579,29.4,15,0.8
20443,Pale (RS),14480,3012,20.8,125,0.9,10780,74.4,563,3.9
20451,Pelagićevo,10395,43,0.4,5523,53.1,4177,40.2,652,6.3
20460,Petrovac,389,0,0.0,0,0.0,388,99.7,1,0.3
20478,Petrovo,9150,82,0.9,48,0.5,8613,94.1,407,4.4
10731,Posušje,17134,6,0.0,16963,99.0,9,0.1,156,0.9
20486,Prijedor,112543,49351,43.9,6316,5.6,47581,42.3,9295,8.3
20494,Prnjavor,47055,7143,15.2,1721,3.7,33508,71.2,4683,10.0
10766,Prozor,19760,7225,36.6,12259,62.0,45,0.2,231,1.2
11304,Ravno,1795,21,1.2,804,44.8,937,52.2,33,1.8
20508,Ribnik,9107,39,0.4,7,0.1,8989,98.7,72,0.8
20516,Rogatica,21881,13187,60.3,19,0.1,8316,38.0,359,1.6
20524,Rudo,11571,3130,27.1,5,0.0,8150,70.4,286,2.5
11541,Sanski Most,54762,27858,50.9,3227,5.9,21355,39.0,2322,4.2
11312,Sapna,14078,10317,73.3,15,0.1,3609,25.6,137,1.0
20532,Sokolac,15513,5017,32.3,19,0.1,10301,66.4,176,1.1
20559,Srbac,21840,940,4.3,140,0.6,19382,88.7,1378,6.3
20567,Srebrenica,36666,27572,75.2,38,0.1,8315,22.7,741,2.0
10987,Srebrenik,40896,30528,74.6,2752,6.7,5308,13.0,2308,5.6
11584,Stari Grad Sarajevo,49550,39325,79.4,1120,2.3,4065,8.2,5040,10.2
11606,Stolac,15187,7397,48.7,5551,36.6,1802,11.9,437,2.9
20656,Šamac,25299,2221,8.8,7669,30.3,13267,52.4,2142,8.5
20664,Šekovići,10347,326,3.2,11,0.1,9741,94.1,269,2.6
20672,Šipovo,15751,2965,18.8,31,0.2,12502,79.4,253,1.6
10570,Široki Brijeg,27160,9,0.0,26864,98.9,148,0.5,139,0.5
11339,Teočak,7777,7314,94.0,4,0.1,42,0.5,417,5.4
20575,Teslić,60708,12875,21.2,9930,16.4,33316,54.9,4587,7.6
11045,Tešanj,41146,34500,83.8,3649,8.9,1663,4.0,1334,3.2
10308,Tomislavgrad,30009,3148,10.5,25976,86.6,576,1.9,309,1.0
11061,Travnik,69971,31813,45.5,25750,36.8,7375,10.5,5033,7.2
20583,Trebinje,29201,5550,19.0,442,1.5,20412,69.9,2797,9.6
11592,Trnovo (FBIH),3090,2513,81.3,1,0.0,529,17.1,47,1.5
20591,Trnovo (RS),3901,2277,58.4,15,0.4,1530,39.2,79,2.0
11088,Tuzla,131402,62669,47.7,20397,15.5,20090,15.3,28246,21.5
20605,Ugljevik,17830,2927,16.4,52,0.3,14446,81.0,405,2.3
11622,Usora,8633,757,8.8,7467,86.5,105,1.2,304,3.5
11100,Vareš,22203,6714,30.2,9016,40.6,3644,16.4,2829,12.7
11118,Velika Kladuša,52908,48305,91.3,740,1.4,2266,4.3,1597,3.0
11126,Visoko,46160,34373,74.5,1872,4.1,7471,16.2,2444,5.3
20087,Višegrad,21199,13471,63.5,32,0.2,6743,31.8,953,4.5
11142,Vitez,27859,11514,41.3,12675,45.5,1501,5.4,2169,7.8
20095,Vlasenica,17810,10939,61.4,32,0.2,6318,35.5,521,2.9
10928,Vogošća,24647,12499,50.7,1071,4.3,8813,35.8,2264,9.2
20109,Vukosavlje,8241,3124,37.9,3391,41.1,1341,16.3,385,4.7
11177,Zavidovići,52379,33623,64.2,3429,6.5,11626,22.2,3701,7.1
11185,Zenica,146603,80359,54.8,22511,15.4,23512,16.0,20221,13.8
20168,Zvornik,67217,37785,56.2,107,0.2,27254,40.5,2071,3.1
11207,Žepče,32856,11676,35.5,17916,54.5,2398,7.3,866,2.6
11215,Živinice,54783,44017,80.3,3976,7.3,3525,6.4,3265,6.0
18800,Kanton: Tuzlanski,493451,347927,70.5,34042,6.9,63943,13.0,47539,9.6
18900,Kanton: Zen.-Dobojski,476947,279817,58.7,87602,18.4,70098,14.7,39430,8.3
19000,Kanton: Sarajevo,492697,250235,50.8,34480,7.0,133874,27.2,74108,15.0
19100,Kanton: Srednjobos.,339820,147595,43.4,131496,38.7,40183,11.8,20546,6.0
19200,Kanton: Unsko-Sanski,342465,248564,72.6,10193,3.0,70648,20.6,13060,3.8
19300,Kanton: Kanton 10,115692,12041,10.4,59553,51.5,41265,35.7,2833,2.4
19400,Kanton: Zapadnoherc.,88992,1611,1.8,86164,96.8,231,0.3,986,1.1
19500,Kanton: Bos.-Podrinjski,39988,27688,69.2,81,0.2,10859,27.2,1360,3.4
19600,Kanton: Herc.-Neret.,267599,99944,37.3,108909,40.7,37671,14.1,21075,7.9
19700,Kanton: Posavski,59140,7840,13.3,41951,70.9,6594,11.1,2755,4.7
29200,Regija: Bijeljinska,338362,145114,42.9,7702,2.3,170224,50.3,15322,4.5
29300,Regija: Dobojska,322411,66310,20.6,75747,23.5,152620,47.3,27734,8.6
29400,Regija: Ist. Sarajevska,162298,71366,44.0,590,0.4,85359,52.6,4983,3.1
29500,Regija: Banjalučka,479880,72574,15.1,50257,10.5,308843,64.4,48206,10.0
29600,Regija: Prijedorska,194263,70190,36.1,8307,4.3,101224,52.1,14542,7.5
29700,Regija: Trebinjska,75401,15523,20.6,1526,2.0,54340,72.1,4012,5.3
19800,Entitet: FBiH,2716791,1423262,52.4,594471,21.9,475366,17.5,223692,8.2
29800,Entitet: RS,1572615,441077,28.0,144129,9.2,872610,55.5,114799,7.3
39800,Distrikt: BD,87627,38617,44.1,22252,25.4,18128,20.7,8630,9.8
49800,Država: BiH,4377033,1902956,43.5,760852,17.4,1366104,31.2,347121,7.9
