Code;Name;2007;2008;2009;2010
10014;Banovići;6750,47;7331,11;7063,92;7329,07
20010;Banja Luka;8522,61;9985,11;10219,17;11058,2
20028;Berkovići;2335,12;2762,59;2608,16;2761,84
10049;Bihać;6587,6;7606,54;7239,26;8386,63
20036;Bijeljina;5752,96;6333,66;6348,26;6916,53
20044;Bileća;4863,94;6241,99;5558,28;5698,12
11428;Bosanska Krupa;3157,27;3526,83;3176,14;3205,57
11436;Bosanski Petrovac;3955,9;4775,67;3929,59;3952,29
10146;Bosansko Grahovo;4920,12;6682,41;7096,29;7340,34
20052;Bratunac;1928,64;2480,63;2599,69;2811,01
30163;Brčko;7435,66;8039,58;7488,57;7662,06
10189;Breza;4917,5;6027,61;6136,41;6388,15
20079;Brod;4183,37;5239,2;6124,6;6729,86
10197;Bugojno;2718,04;3089,98;3188,45;3591,49
10219;Busovača;2653,69;3124,78;3031,75;3226,78
11240;Bužim;2120,95;2418,31;2378,28;2337,67
10227;Cazin;2357,52;2701,42;2591,42;2664,24
10839;Centar Sarajevo;25342,62;29932,63;29098,46;29627,89
20630;Čajniče;4020,17;6008,07;4667,25;4608,55
10243;Čapljina;4379,78;5150,89;5251,82;5328,56
11231;Čelić;1987,99;1972,78;1793,92;1761,8
20648;Čelinac;3443,22;4236,6;3746,22;4168
10260;Čitluk;6107,79;6827,78;6753,18;8065,34
20133;Derventa;3412,41;3451,72;3376,8;3896,82
20141;Doboj;5444,22;5500,52;5465,04;5804,7
11258;Doboj-Istok;3476,87;3723,31;3207,41;2908,91
11266;Doboj-Jug;4742,22;5280,7;5179,93;5444,21
11274;Dobretići;1017,46;2252,95;2308,6;2327,48
11282;Domaljevac-Šamac;2600,27;2694,1;2781,76;2911,9
10294;Donji Vakuf;3306,83;3862,15;3558,37;3542
20150;Donji Žabar;2623,32;4037,52;3273,85;4892,98
11614;Drvar;2423,15;2839,56;2746,68;2615,53
11444;Foča (FBIH);2976;2515,45;3183,62;3300,11
20613;Foča (RS);3783,06;6504,25;5126,73;5541,92
10324;Fojnica;4544,85;4850,14;4653,17;5076,68
20117;Gacko;11413,21;13022,9;12161,72;13652,71
10359;Glamoč;3299,61;4245,64;4550,71;4834,26
11452;Goražde;4193,1;4322,12;4865,85;5201,36
10375;Gornji Vakuf-Uskoplje;2922,63;3442,93;3733,76;4302,52
11479;Gračanica;3666,55;4006,93;3700,14;3725,47
11410;Grad Mostar;8777,01;10004,77;10025,55;10476,39
10391;Gradačac;3437,72;3668,42;3406,73;3522,6
20125;Gradiška;4619,59;5115,78;4830,91;5004,58
10405;Grude;4026,96;4456,6;4877,21;7260,06
10847;Hadžići;4789,79;5590,34;5669,84;5970,11
20621;Han Pijesak;5584,76;6775,59;5903,27;5923,67
11550;Ilidža;8587,22;10188,36;10229,86;10239,8
10863;Ilijaš;3091,86;3560,64;3172,05;3496,06
20176;Istočna Ilidža;4651,27;7346,93;6373,17;5863,28
20184;Istočni Drvar;50411,85;31303,96;89347;115260,66
20192;Istočni Mostar;;;;669,03
20206;Istočni Stari Grad;2255,27;2709,53;2615,08;2390,16
20214;Istočno Novo Sarajevo;12831,12;17308,21;18059,48;13573,07
10421;Jablanica;5745,91;6930,75;6552,15;6476,05
11487;Jajce;3353,67;3802,96;3714,03;4133
20222;Jezero;1077,38;1488,95;1367,78;2007,99
10448;Kakanj;5723,2;6610,67;6435,58;7739,85
11495;Kalesija;2159,25;2458,1;2301,16;2410,47
20249;Kalinovik;2576,68;2964,14;2399,14;2370,12
10472;Kiseljak;3877,37;4492,58;4420,79;4914,38
10499;Kladanj;4491,49;4838,23;3506,57;3594,92
11509;Ključ;2443,59;2878,81;2628,7;2442,93
20257;Kneževo;3039,35;4067,06;3509,07;3558,2
10529;Konjic;3916,32;4795,16;4455,47;4587,84
20273;Kostajnica;3343,97;6610,22;3602,27;3778,41
20281;Kotor Varoš;4929,01;4208,69;4258,22;4729,98
20265;Kozarska Dubica;3033,55;4240,01;3827,15;4024,93
10545;Kreševo;5325;6135,92;6256,42;6296,14
20290;Krupa na Uni;1420,95;3121,96;2274,65;2250,14
11517;Kupres (FBIH);6351,44;6763,56;7232,23;7915,02
20303;Kupres (RS);1307,41;2040,46;1935,16;1731,96
20311;Laktaši;6873,4;7565,72;6955,03;7693,85
10588;Livno;3802,3;4330,38;4662,37;4757,33
20320;Lopare;1889,04;2366,76;2062,84;2191,58
10600;Lukavac;4798,62;5616,32;5266,31;5220,98
20338;Ljubinje;4236,44;5394,37;5795,15;6278,96
10626;Ljubuški;4757,56;4927;5386,56;5951,16
10634;Maglaj;3471,36;3755,77;3475,62;3659,43
20346;Milići;4935,46;5997,48;4222,36;5648,25
20354;Modriča;3919,98;4523,84;4644,73;5012,14
20362;Mrkonjić Grad;5144,16;5443,79;5490,78;5499,02
10685;Neum;5146,57;6051,59;6350,57;6966,1
20389;Nevesinje;2452;2836,29;3012,52;3321,8
20397;Novi Grad;3855,74;4596,04;3739,28;4353,29
10871;Novi Grad Sarajevo;5366,46;6443,7;6082,92;6753,79
10774;Novi Travnik;2684,02;3182,79;3010,11;3862,97
20419;Novo Goražde;3238,52;4247,24;3463,55;3396,21
11568;Novo Sarajevo;13225,65;15316,61;14380,2;15353,54
11525;Odžak;2910,27;3339,54;3068,77;3133,96
10715;Olovo;3330,54;3799,83;3572,62;3445,44
11533;Orašje;4591,47;5146,93;5026,8;5202,18
20427;Osmaci;1691;4401;2105,37;1950,58
20435;Oštra Luka;3563,1;6780,96;4187,27;3497,91
11576;Pale (FBIH);2383,42;2384,89;2905,53;2888,67
20443;Pale (RS);6327,82;7983,33;7199,77;7459,04
20451;Pelagićevo;1762,75;2281,07;2344,2;2453,08
20460;Petrovac;66175,05;38267,43;31480,59;24299,36
20478;Petrovo;1660,47;2089,86;2128,94;2231,39
10731;Posušje;4076,91;4620,85;4996,3;7170,4
20486;Prijedor;4675,74;5093,66;4617,83;4815,88
20494;Prnjavor;3446,12;3590,02;3562,31;3722,27
10766;Prozor;2820,48;3168,26;3088,68;3347,42
11304;Ravno;1323,87;1624,36;1715,52;1793,6
20508;Ribnik;3021,52;3765,05;3725,01;3967,12
20516;Rogatica;3588,96;5054,62;4234,27;4295,39
20524;Rudo;1869,32;2411,69;2138;2436,25
11541;Sanski Most;2733,04;2868,23;2810,01;2766,13
11312;Sapna;1626,76;1813,13;1714,21;1714,2
20532;Sokolac;5104,02;5934,44;5808,23;5779,86
20559;Srbac;3582,25;4207,6;3809,92;3885,04
20567;Srebrenica;1466,98;2424,83;2089,97;2646,92
10987;Srebrenik;3250,3;3642,86;3253,95;3241,25
11584;Stari Grad Sarajevo;11468,9;11903,59;11008,64;10105,2
11606;Stolac;2309,74;2571,38;2492,38;2516,48
20656;Šamac;3233,27;3608,17;3239,93;3669,53
20664;Šekovići;1818,95;2400,74;2422,56;2897,37
20672;Šipovo;4481,32;5046,17;4595,08;4973,77
10570;Široki Brijeg;4488,15;4865,8;6239,93;7239,08
11339;Teočak;1809,24;2138,17;2048,12;2108,31
20575;Teslić;3271,14;3462,28;3268,73;3586,07
11045;Tešanj;4212,02;4776,94;4427,85;4313,41
10308;Tomislavgrad;2790,28;3143,81;3189,58;3158,95
11061;Travnik;5153;5996,87;5855,41;5859,24
20583;Trebinje;7213,47;8207,86;8235,46;10096,48
11592;Trnovo (FBIH);3685,78;4397,25;4041,16;4368,75
20591;Trnovo (RS);2462,62;3375,64;3255,88;3439,89
11088;Tuzla;8550,99;9797,31;9252,06;8366,04
20605;Ugljevik;7696,12;8995,52;9407,13;10136,5
11622;Usora;4661,88;5267,4;4884,16;3781,94
11100;Vareš;3900,3;4206,76;3667,24;3590,13
11118;Velika Kladuša;2813,46;3043,34;2769,09;2999,38
11126;Visoko;5409,22;5967,45;5172,08;5104,63
20087;Višegrad;2677,01;3663,18;3640,45;4133
11142;Vitez;4635,56;5524,37;5015,59;5054,28
20095;Vlasenica;1716,01;2259,19;2448,65;2484,12
10928;Vogošća;4853,44;5578,02;5506,3;5685,28
20109;Vukosavlje;584,58;893,47;849,75;1008,48
11177;Zavidovići;3368,49;3546,35;3401,54;3089,88
11185;Zenica;5943,88;6958,2;6743,81;6325,35
20168;Zvornik;4801,79;5152,15;4737,53;5150,22
11207;Žepče;2491,66;2813,33;2648,73;2972,98
11215;Živinice;4355,83;5032,84;4777,23;
