#,Municipality,Total,Bosniaks,%_Bosniaks,Croats,%_Croats,Serbs,%_Serbs,Others,%_Others
10014,Banovići,22.773,21.374,"93,9%",284,"1,2%",237,"1,0%",878,"3,9%"
20010,Banja Luka,185.042,7.681,"4,2%",5.104,"2,8%",165.750,"89,6%",6.507,"3,5%"
20028,Berkovići,2.114,159,"7,5%",11,"0,5%",1.942,"91,9%",2,"0,1%"
10049,Bihać,56.261,49.550,"88,1%",3.265,"5,8%",910,"1,6%",2.536,"4,5%"
20036,Bijeljina,107.715,13.090,"12,2%",515,"0,5%",91.784,"85,2%",2.326,"2,2%"
20044,Bileća,10.807,26,"0,2%",21,"0,2%",10.646,"98,5%",114,"1,1%"
11428,Bosanska Krupa,25.545,23.578,"92,3%",66,"0,3%",1.260,"4,9%",641,"2,5%"
11436,Bosanski Petrovac,7.328,3.179,"43,4%",26,"0,4%",3.996,"54,5%",127,"1,7%"
10146,Bosansko Grahovo,2.449,6,"0,2%",393,"16,0%",2.028,"82,8%",22,"0,9%"
20052,Bratunac,20.340,7.803,"38,4%",33,"0,2%",12.350,"60,7%",154,"0,8%"
30163,Brčko,83.516,35.381,"42,4%",17.252,"20,7%",28.884,"34,6%",1.999,"2,4%"
10189,Breza,14.168,13.154,"92,8%",314,"2,2%",121,"0,9%",579,"4,1%"
20079,Brod,16.619,1.509,"9,1%",3.287,"19,8%",11.477,"69,1%",346,"2,1%"
10197,Bugojno,31.470,24.650,"78,3%",5.767,"18,3%",376,"1,2%",677,"2,2%"
10219,Busovača,17.910,8.681,"48,5%",8.873,"49,5%",205,"1,1%",151,"0,8%"
11240,Bužim,19.340,19.207,"99,3%",8,"0,0%",1,"0,0%",124,"0,6%"
10227,Cazin,66.149,63.463,"95,9%",320,"0,5%",29,"0,0%",2.337,"3,5%"
10839,Centar Sarajevo,55.181,41.702,"75,6%",3.333,"6,0%",2.186,"4,0%",7.960,"14,4%"
20630,Čajniče,4.895,884,"18,1%",6,"0,1%",3.972,"81,1%",33,"0,7%"
10243,Čapljina,26.157,4.541,"17,4%",20.538,"78,5%",714,"2,7%",364,"1,4%"
11231,Čelić,10.502,9.341,"88,9%",843,"8,0%",192,"1,8%",126,"1,2%"
20648,Čelinac,15.548,453,"2,9%",49,"0,3%",14.874,"95,7%",172,"1,1%"
10260,Čitluk,18.140,29,"0,2%",17.900,"98,7%",18,"0,1%",193,"1,1%"
20133,Derventa,27.404,1.895,"6,9%",2.573,"9,4%",22.349,"81,6%",587,"2,1%"
20141,Doboj,71.441,15.322,"21,4%",1.845,"2,6%",52.628,"73,7%",1.646,"2,3%"
11258,Doboj-Istok,10.248,9.830,"95,9%",18,"0,2%",12,"0,1%",388,"3,8%"
11266,Doboj-Jug,4.137,4.017,"97,1%",24,"0,6%",9,"0,2%",87,"2,1%"
11274,Dobretići,1.629,0,"0,0%",1.626,"99,8%",1,"0,1%",2,"0,1%"
11282,Domaljevac-Šamac,4.771,17,"0,4%",4.634,"97,1%",92,"1,9%",28,"0,6%"
10294,Donji Vakuf,13.985,13.376,"95,6%",58,"0,4%",107,"0,8%",444,"3,2%"
20150,Donji Žabar,3.809,5,"0,1%",1.029,"27,0%",2.759,"72,4%",16,"0,4%"
11614,Drvar,7.036,11,"0,2%",552,"7,8%",6.420,"91,2%",53,"0,8%"
11444,Foča (FBIH),1.933,1.762,"91,2%",0,"0,0%",145,"7,5%",26,"1,3%"
20613,Foča (RS),18.288,1.270,"6,9%",55,"0,3%",16.739,"91,5%",224,"1,2%"
10324,Fojnica,12.356,7.592,"61,4%",3.664,"29,7%",48,"0,4%",1.052,"8,5%"
20117,Gacko,8.990,369,"4,1%",15,"0,2%",8.556,"95,2%",50,"0,6%"
10359,Glamoč,3.860,1.251,"32,4%",906,"23,5%",1.679,"43,5%",24,"0,6%"
11452,Goražde,20.897,19.692,"94,2%",23,"0,1%",707,"3,4%",475,"2,3%"
10375,Gornji Vakuf-Uskoplje,20.933,12.004,"57,3%",8.660,"41,4%",30,"0,1%",239,"1,1%"
11479,Gračanica,45.220,43.857,"97,0%",72,"0,2%",157,"0,3%",1.134,"2,5%"
11410,Grad Mostar,105.797,46.752,"44,2%",51.216,"48,4%",4.421,"4,2%",3.408,"3,2%"
10391,Gradačac,39.340,37.130,"94,4%",918,"2,3%",345,"0,9%",947,"2,4%"
20125,Gradiška,51.727,7.580,"14,7%",826,"1,6%",41.863,"80,9%",1.458,"2,8%"
10405,Grude,17.308,3,"0,0%",17.216,"99,5%",10,"0,1%",79,"0,5%"
10847,Hadžići,23.891,22.120,"92,6%",179,"0,7%",218,"0,9%",1.374,"5,8%"
20621,Han Pijesak,3.530,431,"12,2%",7,"0,2%",3.068,"86,9%",24,"0,7%"
11550,Ilidža,66.730,58.120,"87,1%",3.030,"4,5%",1.600,"2,4%",3.980,"6,0%"
10863,Ilijaš,19.603,18.151,"92,6%",382,"1,9%",421,"2,1%",649,"3,3%"
20176,Istočna Ilidža,14.763,648,"4,4%",156,"1,1%",13.755,"93,2%",204,"1,4%"
20184,Istočni Drvar,79,0,"0,0%",1,"1,3%",78,"98,7%",0,"0,0%"
20192,Istočni Mostar,257,78,"30,4%",11,"4,3%",166,"64,6%",2,"0,8%"
20206,Istočni Stari Grad,1.131,43,"3,8%",7,"0,6%",1.071,"94,7%",10,"0,9%"
20214,Istočno Novo Sarajevo,10.642,44,"0,4%",107,"1,0%",10.248,"96,3%",243,"2,3%"
10421,Jablanica,10.111,9.045,"89,5%",726,"7,2%",63,"0,6%",277,"2,7%"
11487,Jajce,27.258,13.269,"48,7%",12.555,"46,1%",501,"1,8%",933,"3,4%"
20222,Jezero,1.144,287,"25,1%",11,"1,0%",841,"73,5%",5,"0,4%"
10448,Kakanj,37.441,32.341,"86,4%",2.973,"7,9%",281,"0,8%",1.846,"4,9%"
11495,Kalesija,33.053,32.227,"97,5%",20,"0,1%",254,"0,8%",552,"1,7%"
20249,Kalinovik,2.029,57,"2,8%",8,"0,4%",1.947,"96,0%",17,"0,8%"
10472,Kiseljak,20.722,7.838,"37,8%",11.823,"57,1%",409,"2,0%",652,"3,1%"
10499,Kladanj,12.348,11.997,"97,2%",33,"0,3%",107,"0,9%",211,"1,7%"
11509,Ključ,16.744,16.130,"96,3%",30,"0,2%",273,"1,6%",311,"1,9%"
20257,Kneževo,9.793,429,"4,4%",31,"0,3%",9.288,"94,8%",45,"0,5%"
10529,Konjic,25.148,22.486,"89,4%",1.553,"6,2%",355,"1,4%",754,"3,0%"
20273,Kostajnica,5.977,1.460,"24,4%",86,"1,4%",4.315,"72,2%",116,"1,9%"
20281,Kotor Varoš,19.710,5.234,"26,6%",1.116,"5,7%",13.091,"66,4%",269,"1,4%"
20265,Kozarska Dubica,21.524,2.168,"10,1%",273,"1,3%",18.670,"86,7%",413,"1,9%"
10545,Kreševo,5.273,1.014,"19,2%",4.149,"78,7%",26,"0,5%",84,"1,6%"
20290,Krupa na Uni,1.597,3,"0,2%",2,"0,1%",1.592,"99,7%",0,"0,0%"
11517,Kupres (FBIH),5.057,255,"5,0%",4.474,"88,5%",318,"6,3%",10,"0,2%"
20303,Kupres (RS),300,0,"0,0%",0,"0,0%",299,"99,7%",1,"0,3%"
20311,Laktaši,34.966,112,"0,3%",521,"1,5%",33.462,"95,7%",871,"2,5%"
10588,Livno,34.133,4.047,"11,9%",29.273,"85,8%",438,"1,3%",375,"1,1%"
20320,Lopare,15.357,1.371,"8,9%",50,"0,3%",13.869,"90,3%",67,"0,4%"
10600,Lukavac,44.520,38.561,"86,6%",1.524,"3,4%",1.499,"3,4%",2.936,"6,6%"
20338,Ljubinje,3.511,12,"0,3%",10,"0,3%",3.469,"98,8%",20,"0,6%"
10626,Ljubuški,28.184,707,"2,5%",27.271,"96,8%",41,"0,1%",165,"0,6%"
10634,Maglaj,23.146,19.810,"85,6%",2.041,"8,8%",810,"3,5%",485,"2,1%"
20346,Milići,11.441,4.199,"36,7%",24,"0,2%",7.180,"62,8%",38,"0,3%"
20354,Modriča,25.720,3.101,"12,1%",1.674,"6,5%",20.227,"78,6%",718,"2,8%"
20362,Mrkonjić Grad,16.671,375,"2,2%",159,"1,0%",16.050,"96,3%",87,"0,5%"
10685,Neum,4.653,63,"1,4%",4.543,"97,6%",21,"0,5%",26,"0,6%"
20389,Nevesinje,12.961,533,"4,1%",28,"0,2%",12.353,"95,3%",47,"0,4%"
20397,Novi Grad,27.115,6.439,"23,7%",181,"0,7%",20.116,"74,2%",379,"1,4%"
10871,Novi Grad Sarajevo,118.553,99.773,"84,2%",4.947,"4,2%",4.367,"3,7%",9.466,"8,0%"
10774,Novi Travnik,23.832,12.067,"50,6%",11.002,"46,2%",367,"1,5%",396,"1,7%"
20419,Novo Goražde,3.117,1.459,"46,8%",2,"0,1%",1.618,"51,9%",38,"1,2%"
11568,Novo Sarajevo,64.814,48.188,"74,3%",4.639,"7,2%",3.402,"5,2%",8.585,"13,2%"
11525,Odžak,18.821,6.220,"33,0%",11.621,"61,7%",582,"3,1%",398,"2,1%"
10715,Olovo,10.175,9.701,"95,3%",230,"2,3%",77,"0,8%",167,"1,6%"
11533,Orašje,19.861,2.015,"10,1%",17.345,"87,3%",157,"0,8%",344,"1,7%"
20427,Osmaci,6.016,2.895,"48,1%",9,"0,1%",3.095,"51,4%",17,"0,3%"
20435,Oštra Luka,2.786,23,"0,8%",160,"5,7%",2.580,"92,6%",23,"0,8%"
11576,Pale (FBIH),904,859,"95,0%",1,"0,1%",33,"3,7%",11,"1,2%"
20443,Pale (RS),20.909,186,"0,9%",128,"0,6%",20.451,"97,8%",144,"0,7%"
20451,Pelagićevo,5.220,13,"0,2%",1.850,"35,4%",3.330,"63,8%",27,"0,5%"
20460,Petrovac,361,0,"0,0%",0,"0,0%",358,"99,2%",3,"0,8%"
20478,Petrovo,6.474,7,"0,1%",36,"0,6%",6.371,"98,4%",60,"0,9%"
10731,Posušje,20.477,2,"0,0%",20.424,"99,7%",5,"0,0%",46,"0,2%"
20486,Prijedor,89.397,29.034,"32,5%",1.762,"2,0%",55.895,"62,5%",2.706,"3,0%"
20494,Prnjavor,35.956,2.979,"8,3%",451,"1,3%",30.673,"85,3%",1.853,"5,2%"
10766,Prozor,14.280,3.525,"24,7%",10.702,"74,9%",3,"0,0%",50,"0,4%"
11304,Ravno,3.219,20,"0,6%",2.633,"81,8%",558,"17,3%",8,"0,2%"
20508,Ribnik,6.048,0,"0,0%",11,"0,2%",6.018,"99,5%",19,"0,3%"
20516,Rogatica,10.723,1.117,"10,4%",19,"0,2%",9.527,"88,8%",60,"0,6%"
20524,Rudo,7.963,677,"8,5%",9,"0,1%",7.241,"90,9%",36,"0,5%"
11541,Sanski Most,41.475,38.344,"92,5%",722,"1,7%",1.837,"4,4%",572,"1,4%"
11312,Sapna,11.178,10.827,"96,9%",3,"0,0%",234,"2,1%",114,"1,0%"
20532,Sokolac,12.021,671,"5,6%",29,"0,2%",11.250,"93,6%",71,"0,6%"
20559,Srbac,17.587,417,"2,4%",131,"0,7%",16.630,"94,6%",409,"2,3%"
20567,Srebrenica,13.409,7.248,"54,1%",16,"0,1%",6.028,"45,0%",117,"0,9%"
10987,Srebrenik,39.678,35.951,"90,6%",1.968,"5,0%",394,"1,0%",1.365,"3,4%"
11584,Stari Grad Sarajevo,36.976,32.794,"88,7%",685,"1,9%",467,"1,3%",3.030,"8,2%"
11606,Stolac,14.502,5.544,"38,2%",8.486,"58,5%",279,"1,9%",193,"1,3%"
20656,Šamac,17.273,1.265,"7,3%",2.426,"14,0%",13.256,"76,7%",326,"1,9%"
20664,Šekovići,6.761,107,"1,6%",8,"0,1%",6.618,"97,9%",28,"0,4%"
20672,Šipovo,10.293,628,"6,1%",26,"0,3%",9.576,"93,0%",63,"0,6%"
10570,Široki Brijeg,28.929,6,"0,0%",28.814,"99,6%",45,"0,2%",64,"0,2%"
11339,Teočak,7.424,7.398,"99,6%",5,"0,1%",7,"0,1%",14,"0,2%"
20575,Teslić,38.536,7.184,"18,6%",1.442,"3,7%",29.041,"75,4%",869,"2,3%"
11045,Tešanj,43.063,40.461,"94,0%",1.462,"3,4%",226,"0,5%",914,"2,1%"
10308,Tomislavgrad,31.592,2.467,"7,8%",29.006,"91,8%",22,"0,1%",97,"0,3%"
11061,Travnik,53.482,35.648,"66,7%",15.102,"28,2%",640,"1,2%",2.092,"3,9%"
20583,Trebinje,29.198,995,"3,4%",295,"1,0%",27.287,"93,5%",621,"2,1%"
11592,Trnovo (FBIH),1.502,1.376,"91,6%",4,"0,3%",97,"6,5%",25,"1,7%"
20591,Trnovo (RS),2.050,837,"40,8%",15,"0,7%",1.178,"57,5%",20,"1,0%"
11088,Tuzla,110.979,80.774,"72,8%",15.396,"13,9%",3.378,"3,0%",11.431,"10,3%"
20605,Ugljevik,15.710,2.186,"13,9%",42,"0,3%",13.412,"85,4%",70,"0,4%"
11622,Usora,6.603,374,"5,7%",6.095,"92,3%",61,"0,9%",73,"1,1%"
11100,Vareš,8.892,5.447,"61,3%",2.820,"31,7%",189,"2,1%",436,"4,9%"
11118,Velika Kladuša,40.419,32.561,"80,6%",636,"1,6%",146,"0,4%",7.076,"17,5%"
11126,Visoko,39.938,36.697,"91,9%",576,"1,4%",286,"0,7%",2.379,"6,0%"
20087,Višegrad,10.668,1.043,"9,8%",33,"0,3%",9.338,"87,5%",254,"2,4%"
11142,Vitez,25.836,10.513,"40,7%",14.350,"55,5%",333,"1,3%",640,"2,5%"
20095,Vlasenica,11.467,3.763,"32,8%",31,"0,3%",7.589,"66,2%",84,"0,7%"
10928,Vogošća,26.343,24.351,"92,4%",321,"1,2%",542,"2,1%",1.129,"4,3%"
20109,Vukosavlje,4.667,2.180,"46,7%",776,"16,6%",1.516,"32,5%",195,"4,2%"
11177,Zavidovići,35.988,32.735,"91,0%",1.204,"3,3%",573,"1,6%",1.476,"4,1%"
11185,Zenica,110.663,92.988,"84,0%",8.279,"7,5%",2.409,"2,2%",6.987,"6,3%"
20168,Zvornik,58.856,19.855,"33,7%",106,"0,2%",38.579,"65,5%",316,"0,5%"
11207,Žepče,30.219,11.727,"38,8%",17.801,"58,9%",501,"1,7%",190,"0,6%"
11215,Živinice,57.765,53.089,"91,9%",2.508,"4,3%",242,"0,4%",1.926,"3,3%"
